matchId,blue_kill,red_kill,blue_gold,red_gold,blue_tower,blue_inhibitor,red_tower,red_inhibitor,blue_monster,red_monster,current_time,blue_win
4584649888,5,6,20431,22238,0,0,0,0,[],"['EARTH_DRAGON', 'AIR_DRAGON']",900,1
4561645728,8,7,23616,22025,0,0,-2,0,"['AIR_DRAGON', 'RIFTHERALD']",[],900,1
4626220704,4,10,19242,23669,0,0,0,0,[],"['RIFTHERALD', 'AIR_DRAGON']",900,0
4626531488,5,3,22125,20893,0,0,-1,0,"['EARTH_DRAGON', 'RIFTHERALD']",['WATER_DRAGON'],900,0
4627156132,11,11,24771,23417,0,0,0,0,"['WATER_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']",[],900,1
4626910368,12,16,24904,25624,0,0,0,0,['AIR_DRAGON'],['WATER_DRAGON'],900,0
4618000038,10,19,23688,27241,-1,0,0,0,[],[],900,0
4599854249,17,9,28492,22943,0,0,-2,0,['RIFTHERALD'],"['FIRE_DRAGON', 'WATER_DRAGON']",900,1
4589514409,6,17,21260,28747,-2,0,0,0,"['AIR_DRAGON', 'RIFTHERALD']",[],900,0
4624818345,11,8,24934,21025,0,0,-1,0,"['EARTH_DRAGON', 'RIFTHERALD']",['WATER_DRAGON'],900,1
4626162347,2,1,5582,5058,0,0,0,0,[],[],300,0
4620373165,10,11,23203,22770,0,0,0,0,['RIFTHERALD'],['EARTH_DRAGON'],900,0
4624006831,7,16,20711,26936,-3,0,-1,0,[],"['RIFTHERALD', 'WATER_DRAGON']",900,0
4589334193,9,9,22318,23022,0,0,0,0,['RIFTHERALD'],['WATER_DRAGON'],900,0
4624436401,12,10,22492,23519,0,0,0,0,[],['EARTH_DRAGON'],900,0
4621911219,12,10,24051,23391,0,0,0,0,['RIFTHERALD'],['AIR_DRAGON'],900,1
4624932532,5,19,20843,28892,-1,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4585895094,17,11,27331,21846,0,0,-1,0,['FIRE_DRAGON'],['AIR_DRAGON'],900,1
4625355961,10,11,24074,24050,0,0,0,0,['EARTH_DRAGON'],['RIFTHERALD'],900,0
4623014588,8,9,20920,23926,-1,0,0,0,['FIRE_DRAGON'],['EARTH_DRAGON'],900,1
4624813759,7,14,22562,25821,-1,0,0,0,['WATER_DRAGON'],['EARTH_DRAGON'],900,1
4625666239,9,12,23464,23503,0,0,0,0,[],['FIRE_DRAGON'],900,0
4584468161,9,12,24137,24315,0,0,-1,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4625614534,8,6,22167,21391,0,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,1
4618886856,11,6,25100,21163,0,0,-1,0,['EARTH_DRAGON'],['RIFTHERALD'],900,1
4627095757,9,2,23365,19073,0,0,0,0,['WATER_DRAGON'],[],900,1
4616128720,15,19,24049,26859,0,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,0
4562862800,19,5,28074,21021,0,0,-1,0,"['AIR_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']",[],900,1
4619119314,10,11,22822,23289,0,0,0,0,[],['FIRE_DRAGON'],900,1
4563626194,6,11,21344,23227,0,0,0,0,[],[],900,0
4622349522,19,9,31026,22317,0,0,-4,0,['AIR_DRAGON'],[],900,1
4624675537,8,11,22512,22260,0,0,0,0,[],['AIR_DRAGON'],900,1
4625118422,1,0,4700,4598,0,0,0,0,[],[],300,0
4622276311,7,17,21920,26072,-1,0,0,0,['RIFTHERALD'],"['FIRE_DRAGON', 'EARTH_DRAGON']",900,0
4578483929,11,7,24934,22087,0,0,-1,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,1
4624831705,11,18,24131,28088,0,0,0,0,['EARTH_DRAGON'],"['WATER_DRAGON', 'RIFTHERALD']",900,0
4615431387,9,9,22031,22780,0,0,0,0,[],[],900,0
4620419806,14,9,25055,24182,-1,0,0,0,[],[],900,0
4619155679,12,3,27895,19443,0,0,-2,0,"['RIFTHERALD', 'FIRE_DRAGON']",[],900,1
4625954017,15,5,27034,20515,0,0,-1,0,"['WATER_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']",[],900,1
4612743395,11,17,23919,26745,0,0,0,0,"['RIFTHERALD', 'EARTH_DRAGON']",['WATER_DRAGON'],900,0
4626800868,9,10,24794,23797,0,0,-1,0,['RIFTHERALD'],['FIRE_DRAGON'],900,1
4604843237,10,9,21818,24814,0,0,0,0,['FIRE_DRAGON'],[],900,1
4580029157,7,11,22117,23520,0,0,-2,0,"['AIR_DRAGON', 'RIFTHERALD']",[],900,1
4620218599,14,9,27092,23795,-1,0,-2,0,['AIR_DRAGON'],[],900,1
4624734445,5,14,20872,24971,-1,0,0,0,[],"['WATER_DRAGON', 'RIFTHERALD']",900,0
4600885999,13,10,25987,22762,0,0,0,0,['WATER_DRAGON'],['EARTH_DRAGON'],900,1
4622096625,7,10,22745,24386,0,0,0,0,[],['RIFTHERALD'],900,1
4626753778,13,9,24295,23525,0,0,0,0,['RIFTHERALD'],['WATER_DRAGON'],900,1
4628940019,10,15,21333,24829,0,0,0,0,['AIR_DRAGON'],[],900,0
4626893555,6,10,20936,24436,0,0,0,0,['RIFTHERALD'],['FIRE_DRAGON'],900,0
4625027830,13,11,25235,24902,-1,0,-1,0,['FIRE_DRAGON'],['RIFTHERALD'],900,1
4626676471,7,19,22349,28435,-1,0,0,0,['RIFTHERALD'],['EARTH_DRAGON'],900,0
4580035321,5,11,20076,25118,-1,0,0,0,['FIRE_DRAGON'],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4620259579,13,5,26650,20899,0,0,0,0,"['RIFTHERALD', 'WATER_DRAGON']",[],900,1
4628097788,16,7,29169,22053,0,0,-3,0,"['RIFTHERALD', 'FIRE_DRAGON']",[],900,1
4598068477,8,23,21638,32522,-2,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4598250237,8,7,23605,23231,0,0,0,0,['RIFTHERALD'],"['AIR_DRAGON', 'WATER_DRAGON']",900,1
4626217726,12,5,26292,21951,0,0,-1,0,[],['AIR_DRAGON'],900,0
4587346688,15,7,26611,21890,0,0,0,0,['RIFTHERALD'],[],900,1
